symbol,name,ta_ma,ta_volume,ta_funding,TA_%,Macro_%,RS_%,Total_%,AvgDataAge_h,score
HYPE,Hyperliquid,1,1,0,97.4,50.0,100.0,88.4,0.0,0.884
SOL,Solana,1,1,0,97.4,50.0,100.0,88.4,0.0,0.884
WEETH,Wrapped eETH,1,1,0,97.4,50.0,100.0,88.4,0.0,0.884
WBTC,Wrapped Bitcoin,1,1,0,97.4,50.0,50.0,78.4,0.0,0.784
LINK,Chainlink,1,0,0,73.7,50.0,100.0,74.2,0.0,0.742
BTC,Bitcoin,1,0,0,73.7,50.0,50.0,64.2,0.0,0.642
ADA,Cardano,1,-1,0,50.0,50.0,100.0,60.0,0.0,0.6
BNB,BNB,1,-1,0,50.0,50.0,100.0,60.0,0.0,0.6
DOGE,Dogecoin,1,-1,0,50.0,50.0,100.0,60.0,0.0,0.6
ETH,Ethereum,1,-1,0,50.0,50.0,100.0,60.0,0.0,0.6
STETH,Lido Staked Ether,1,-1,0,50.0,50.0,100.0,60.0,0.0,0.6
TRX,TRON,1,-1,0,50.0,50.0,100.0,60.0,0.0,0.6
WBETH,Wrapped Beacon ETH,1,-1,0,50.0,50.0,100.0,60.0,0.0,0.6
WSTETH,Wrapped stETH,1,-1,0,50.0,50.0,100.0,60.0,0.0,0.6
SUI,Sui,1,-1,0,50.0,50.0,50.0,50.0,0.0,0.5
XRP,XRP,1,-1,0,50.0,50.0,50.0,50.0,0.0,0.5
XLM,Stellar,1,-1,0,50.0,50.0,0.0,40.0,0.0,0.4
